k,cases,observed_global_w4_speedup_mean,observed_local_w4_speedup_mean,local_retention_vs_global_mean,region_count_mean,avg_region_nodes_mean,max_region_nodes_mean,avg_region_node_fraction_mean,max_region_node_fraction_mean,type_local_error_pct_mean,type_local_abs_error_pct_mean,type_local_abs_error_pct_p50,type_local_abs_error_pct_p90,shape_local_error_pct_mean,shape_local_abs_error_pct_mean,shape_local_abs_error_pct_p50,shape_local_abs_error_pct_p90,peak_level_width_mean,level_count_mean
1,5,3.8767,3.2754,0.8445,3.0,17.0,26.8,0.35,0.5495,16.3569,16.3959,21.0446,29.1299,12.7155,15.1933,14.8643,28.8791,26.8,3.0
2,5,3.8767,3.8187,0.9854,1.8,29.3,42.8,0.6,0.8734,1.0827,4.0938,2.1705,9.1326,-0.6985,5.6125,5.9436,9.9541,26.8,3.0
3,5,3.8767,3.875,0.9996,1.2,43.4,48.6,0.9,0.9897,1.9542,3.2188,0.8297,8.3513,1.1209,3.98,2.7832,8.6904,26.8,3.0
4,5,3.8767,3.8767,1.0,1.0,49.2,49.2,1.0,1.0,2.0585,3.1145,0.8297,8.1426,1.0791,4.0218,2.9922,8.6904,26.8,3.0
6,5,3.8767,3.8767,1.0,1.0,49.2,49.2,1.0,1.0,2.0585,3.1145,0.8297,8.1426,1.0791,4.0218,2.9922,8.6904,26.8,3.0
